NOM;ligne;Etat;X_CC43;Y_CC43;X_WGS84;Y_WGS84
GARE  CENTRALE;C;Existant;1565502,111;2268392,299;1,33398885;43,60363591
RAMASSIERS;C;Existant;1567039,202;2268245,364;1,35305940;43,60258642
SAINT-MARTIN DU TOUCH;C;Existant;1568549,633;2267897,441;1,37184740;43,59972040
LARDENNE;C;Existant;1569497,987;2267544,462;1,38367497;43,59670872
ZENITH;C;Existant;1570920,609;2267397,860;1,40132505;43,59563442
GARE SAINT-CYPRIEN ARENES;C;Existant;1572300,012;2267180,634;1,41845582;43,59391455
ARENES;A;Existant;1572332,495;2267016,515;1,41889627;43,59244310
ROSERAIE;A;Existant;1576520,855;2270011,728;1,47008007;43,62009577
ARGOULETS;A;Existant;1577076,305;2270495,398;1,47685201;43,62453929
GRAMONT;A;Existant;1577566,178;2270857,430;1,48283970;43,62787709
COMPANS-CAFFARELLI;B;Existant;1573714,203;2269006,527;1,43554522;43,61058450
JEANNE D'ARC;B;Existant;1574501,811;2268800,768;1,44534720;43,60886443
JEAN JAURES;B;Existant;1574773,584;2268438,144;1,44879605;43,60564629
FRANCOIS VERDIER;B;Existant;1575036,523;2267869,462;1,45218216;43,60057221
CARMES;B;Existant;1574495,673;2267547,870;1,44555833;43,59758824
PALAIS DE JUSTICE;B;Existant;1574412,548;2266960,720;1,44466363;43,59229045
SAINT MICHEL;B;Existant;1574594,325;2266321,503;1,44706066;43,58656821
EMPALOT;B;Existant;1574186,384;2265594,422;1,44217709;43,57995699
SAINT AGNE-SNCF;B;Existant;1574792,737;2265617,307;1,44967801;43,58026390
SAOUZELONG;B;Existant;1575565,355;2265527,601;1,45926281;43,57958453
RANGUEIL;B;Existant;1575764,736;2264977,387;1,46185570;43,57466583
FACULTE DE PHARMACIE;B;Existant;1575966,285;2264230,493;1,46451950;43,56797742
UNIVERSITE PAUL SABATIER;B;Existant;1575843,072;2263460,133;1,46316896;43,56102434
RAMONVILLE;B;Existant;1576898,273;2262856,574;1,47636299;43,55576563
BORDEROUGE;B;Existant;1575146,977;2272307,244;1,45253756;43,64052712
TROIS COCUS;B;Existant;1574476,505;2272039,408;1,44429092;43,63800538
LA VACHE;B;Existant;1573769,795;2271582,645;1,43563953;43,63377679
BARRIERE DE PARIS;B;Existant;1573619,677;2270812,682;1,43395742;43,62682259
MINIMES;B;Existant;1573759,628;2270091,789;1,43585753;43,62035862
CANAL DU MIDI;B;Existant;1573622,315;2269538,685;1,43428430;43,61535810
JOLIMONT;A;Existant;1575973,303;2269488,684;1,46341588;43,61529882
MARENGO-SNCF;A;Existant;1575302,123;2269004,430;1,45521272;43,61083011
JEAN JAURES;A;Existant;1574803,309;2268462,723;1,44915856;43,60587243
CAPITOLE;A;Existant;1574511,334;2268315,493;1,44557636;43,60449890
ESQUIROL;A;Existant;1574367,397;2267844,430;1,44390190;43,60023570
ST CYPRIEN-REPUBLIQUE;A;Existant;1573354,933;2267608,129;1,43141895;43,59793969
PATTE D'OIE;A;Existant;1572690,284;2267453,982;1,42322461;43,59644049
FONTAINE-LESTANG;A;Existant;1572283,965;2266471,670;1,41842241;43,58753168
MERMOZ;A;Existant;1572014,261;2266034,265;1,41518548;43,58354960
BAGATELLE;A;Existant;1571775,830;2265645,077;1,41232483;43,58000668
MIRAIL-UNIVERSITE;A;Existant;1570931,009;2265076,907;1,40200054;43,57474939
REYNERIE;A;Existant;1570900,495;2264660,898;1,40172081;43,57100039
BELLEFONTAINE;A;Existant;1570604,451;2264118,795;1,39818456;43,56607110
BASSO-CAMBO;A;Existant;1570135,628;2264554,711;1,39227907;43,56991343
